age_days,n_authors,n_edits,n_sections,name
5025.167430667315,81,133,0,"Abelia
"
4409.974340995428,3,3,0,"Acer (genus)
"
5583.247635000753,98,148,2,"Actinidia
"
5927.510244087744,673,1252,3,"Aloe
"
5057.4144884964,72,107,0,"Aralia
"
5072.399266676076,73,123,1,"Arctostaphylos
"
4915.204491332569,226,485,1,"Aronia
"
1947.4577627322915,3,3,0,"Artemisia (plant)
"
4404.978392013993,52,70,1,"Aucuba
"
4785.899535843414,224,383,0,"Berberis
"
4934.606584807952,414,628,0,"Bougainvillea
"
4787.711113666875,218,405,0,"Brugmansia
"
5239.682821822419,153,647,1,"Buddleja
"
5156.474782764757,155,237,0,"Buxus
"
1276.6909781534605,3,3,0,"Calia
"
5027.278866480463,111,186,0,"Callicarpa
"
4728.1896656006365,116,195,1,"Callistemon
"
4942.779370117211,417,672,0,"Calluna
"
4502.601662596598,62,84,0,"Calycanthus
"
5561.368068195324,347,566,1,"Camellia
"
4070.429444350637,37,49,0,"Caragana
"
5253.341604363206,39,63,0,"Carpenteria
"
3734.7938909853588,35,49,0,"Caryopteris
"
4939.755758820648,38,54,0,"Cassiope
"
4999.535207686527,83,191,4,"Ceanothus
"
5005.960143938646,37,51,0,"Celastrus
"
4183.146678236227,33,42,0,"Ceratostigma
"
4834.518187212962,49,74,0,"Cercocarpus
"
5019.246375988159,86,137,1,"Chaenomeles
"
3614.187891387164,20,27,0,"Chamaebatiaria
"
4112.637768668657,38,56,0,"Chamaedaphne
"
4502.827969972049,40,60,1,"Chimonanthus
"
4098.59733852919,42,93,2,"Chionanthus
"
4560.5937825236115,41,79,1,"Choisya
"
4975.665781542141,102,219,1,"Cistus
"
4038.9239900520256,78,97,7,"Clerodendrum
"
4476.739079709352,36,63,0,"Clethra
"
4240.892687489989,48,77,1,"Clianthus
"
4108.599490062743,22,25,1,"Colletia
"
4651.977445871725,36,45,0,"Colutea
"
4579.54931744787,68,103,0,"Comptonia (plant)
"
2997.3835181565278,6,7,0,"Dogwood
"
4256.97264302353,29,39,0,"Corylopsis
"
4623.176607748611,76,92,2,"Cotinus
"
4748.678446002917,109,202,3,"Cotoneaster
"
2465.632848430486,1,1,0,"Cowania (plant)
"
